Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
198,Advocate Shaqir Agafafar,NAGPUR EAST,Bhim Sena,0,Graduate Professional,,
199,Advocate Suraj Balram Mishra,NAGPUR EAST,All India Forward Bloc,0,Graduate Professional,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~
200,Advocate Suraj Balram Mishra,NAGPUR CENTRAL,All India Forward Bloc,0,Graduate Professional,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~
201,Advocate Varsha Ramesh Vasave,SHIRPUR (ST),IND,0,Post Graduate,,
202,Afasar Abdul Hamid,JALGAON CITY,IND,0,Post Graduate,"Rs 20,065 ~ 20 Thou+","Rs 44,380 ~ 44 Thou+"
203,Afjal Sharif Shaikh,KALAMNURI,Republican Sena,0,10th Pass,"Rs 6,10,000 ~ 6 Lacs+",Rs 0 ~
204,Afsar Akbar Tadvi,SILLOD,IND,0,10th Pass,,
205,Afsar Faridshaikh Choudhari,JALNA,IND,0,10th Pass,"Rs 4,04,500 ~ 4 Lacs+","Rs 1,91,000 ~ 1 Lacs+"
206,Afsar Khan Shabbir Khan,JALGAON (JAMOD),IND,1,8th Pass,"Rs 1,41,720 ~ 1 Lacs+",Rs 0 ~
207,Afsar Khan Yasin Khan,AURANGABAD EAST,Vanchit Bahujan Aaghadi,2,12th Pass,,
208,Agarwal Mukesh Manohar,MAVAL,IND,4,10th Pass,"Rs 95,47,500 ~ 95 Lacs+","Rs 4,20,000 ~ 4 Lacs+"
209,Agashe Ankit Devdas,TUMSAR,IND,0,12th Pass,"Rs 1,90,000 ~ 1 Lacs+",Rs 0 ~
210,Agrawal Anupbhaiyya Omprakash,DHULE CITY,BJP,3,12th Pass,,
211,Agrawal Gopaldas Shankarlal,GONDIA,INC,0,Graduate,"Rs 6,86,19,900 ~ 6 Crore+","Rs 2,03,35,487 ~ 2 Crore+"
212,Agrawal Mohankumar Hariprasad,PARTUR,IND,2,Graduate,"Rs 8,62,24,318 ~ 8 Crore+","Rs 24,27,837 ~ 24 Lacs+"
213,Agrawal Vijay Kamalkishor,AKOLA WEST,BJP,2,Graduate,,
214,Agrawal Vinod,GONDIA,BJP,2,12th Pass,"Rs 7,74,45,902 ~ 7 Crore+","Rs 22,09,989 ~ 22 Lacs+"
215,Ahamed Afzal Shaikh,KOPRI-PACHPAKHADI,IND,0,8th Pass,"Rs 18,90,000 ~ 18 Lacs+",Rs 0 ~
216,Ahemad Hussain Shaikh (Ahemad Sir),JALGAON CITY,IND,0,Post Graduate,,
217,Ahemad Mahamad Shaikh,PARTUR,BSP,0,Literate,"Rs 7,76,885 ~ 7 Lacs+","Rs 70,000 ~ 70 Thou+"
218,Ahemad Rasul Shaikh,NANDED NORTH,Bharatiya Yuva Jan Ekta Party,0,10th Pass,"Rs 70,000 ~ 70 Thou+",Rs 0 ~
219,Ahetesham Sadakat Ali,WARORA,Prahar Janshakti Party,0,12th Pass,,
220,Ahilyabai Hanmant Mamilwad,MUKHED,BSP,0,8th Pass,"Rs 62,61,000 ~ 62 Lacs+","Rs 4,30,000 ~ 4 Lacs+"
221,Ahire Saroj Babulal,DEOLALI (SC),NCP,0,Graduate,"Rs 3,71,61,087 ~ 3 Crore+","Rs 44,48,954 ~ 44 Lacs+"
222,Ahire Sunil Vyankat,AMBARNATH (SC),IND,0,10th Pass,,
223,Aijaz Ahmed Abdul Quader,NANDED SOUTH,Social Democratic Party Of India,1,10th Pass,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~
224,Aijaz Iqbal Qureshi,VANDRE  WEST,BSP,0,10th Pass,"Rs 6,12,693 ~ 6 Lacs+","Rs 76,414 ~ 76 Thou+"
225,Ailani Kumar Uttamchand,ULHASNAGAR,BJP,1,10th Pass,,
226,Ajabe Balasaheb Bhausaheb,ASHTI,NCP,0,12th Pass,"Rs 4,55,20,780 ~ 4 Crore+","Rs 1,67,87,639 ~ 1 Crore+"
227,Ajabrao Ramrao Tale,AKOLA EAST,IND,1,Post Graduate,"Rs 2,19,60,000 ~ 2 Crore+","Rs 7,60,000 ~ 7 Lacs+"
228,Ajay Arjun Wani,KALINA,IND,0,Graduate,,
229,Ajay Bhojraj Mandape,BADNERA,IND,0,10th Pass,"Rs 2,000 ~ 2 Thou+",Rs 0 ~
230,Ajay Ganpat Bhadange,SANGMNER,IND,0,Graduate,"Rs 74,400 ~ 74 Thou+",Rs 0 ~
231,Ajay Gopal Parase,WASHIM (SC),IND,0,Graduate,,
232,Ajay Jivaram Ingale,BHUSAWAL (SC),IND,0,12th Pass,"Rs 1,00,646 ~ 1 Lacs+","Rs 30,000 ~ 30 Thou+"
233,Ajay Kundalik Sahare,SAVNER,Vanchit Bahujan Aaghadi,1,12th Pass,"Rs 50,700 ~ 50 Thou+","Rs 5,50,000 ~ 5 Lacs+"
234,Ajay Mahadev Surywanshi,KARAD NORTH,IND,0,10th Pass,,
235,Ajay Manik Shinde,SHIVAJINAGAR,IND,1,8th Pass,"Rs 61,60,000 ~ 61 Lacs+",Rs 0 ~
236,Ajay Nagesh Gadge,KALINA,Rashtriya Samaj Paksha,1,10th Pass,"Rs 1,58,000 ~ 1 Lacs+","Rs 35,000 ~ 35 Thou+"
237,Ajay Ramchandra Dethe,DHARAVI (SC),IND,0,8th Pass,,
238,Ajay Ravindra Kharat,VIKHROLI,Vanchit Bahujan Aaghadi,0,Graduate,"Rs 18,66,267 ~ 18 Lacs+",Rs 0 ~
239,Ajay Rokade,MALAD  WEST,Vanchit Bahujan Aaghadi,2,10th Pass,"Rs 16,86,087 ~ 16 Lacs+","Rs 3,77,346 ~ 3 Lacs+"
240,Ajay Rustum Aadaskar,MAJALGAON,IND,0,12th Pass,,
241,Ajay Sambhaji Lanjewar,ARJUNI MORGAON (SC),IND,1,Graduate Professional,"Rs 2,92,17,508 ~ 2 Crore+","Rs 89,09,586 ~ 89 Lacs+"
242,Ajay Shridhar Mhatre,ALIBAG,IND,0,10th Pass,"Rs 56,53,100 ~ 56 Lacs+","Rs 24,25,538 ~ 24 Lacs+"
243,Ajay Suresh Badole,ARJUNI MORGAON (SC),IND,0,Post Graduate,,
244,Ajay Tukaramji Marode,NAGPUR EAST,MNS,0,10th Pass,"Rs 21,39,875 ~ 21 Lacs+",Rs 0 ~
245,Ajay Vasant Baisane,JOGESHWARI EAST,IND,0,5th Pass,"Rs 40,10,000 ~ 40 Lacs+","Rs 80,000 ~ 80 Thou+"
246,Ajay Vinayak Choudhari,SHIVADI,Shiv Sena (Uddhav Balasaheb Thackeray),0,10th Pass,,
247,Ajay Vishwanath Anjankar,TIRORA,IND,0,Post Graduate,"Rs 1,67,000 ~ 1 Lacs+",Rs 0 ~
248,Ajay Vithal Kapadane,VANDRE EAST,BSP,0,8th Pass,"Rs 2,96,548 ~ 2 Lacs+",Rs 0 ~
249,Ajaykumar Vishnu Dede,UMARGA (SC),IND,1,Doctorate,,
250,Ajaz Khan,VERSOVA,Aazad Samaj Party (Kanshi Ram),11,5th Pass,"Rs 46,11,689 ~ 46 Lacs+",Rs 0 ~
251,Ajhar Yunus Shekh,PARTUR,IND,2,8th Pass,"Rs 14,61,639 ~ 14 Lacs+",Rs 0 ~
252,Ajinath Balu Bhavar,VIKRAMGAD (ST),BSP,0,Graduate,,
253,Ajinath Balu Bhavar,BOISAR (ST),BSP,0,Graduate,"Rs 99,600 ~ 99 Thou+",Rs 0 ~
254,Ajinath Laxman Kevate,MAN,IND,1,Post Graduate,"Rs 18,95,317 ~ 18 Lacs+",Rs 0 ~
255,Ajinkya Alias Bhikaji Dadarao Phate,ACHALPUR,IND,0,Illiterate,,
256,Ajit Anantrao Pawar,BARAMATI,NCP,40,12th Pass,"Rs 1,24,55,30,888 ~ 124 Crore+","Rs 21,21,78,454 ~ 21 Crore+"
257,Ajit Bappasaheb Pingle,OSMANABAD,Shiv Sena,0,Graduate,"Rs 1,86,10,434 ~ 1 Crore+","Rs 43,83,334 ~ 43 Lacs+"
258,Ajit Damodar Gavhane,BHOSARI,NCP-Sharadchandra Pawar,0,Others,,
259,Ajit Dhanaji Khandare,KHANPUR,BSP,0,Graduate,"Rs 19,98,390 ~ 19 Lacs+","Rs 5,90,000 ~ 5 Lacs+"
260,Ajit Dinkar Nalwade,MAN,IND,0,Graduate,"Rs 4,00,000 ~ 4 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
261,Ajit Kumar Devmore,HATKANANGLE (SC),IND,0,Graduate,,
262,Ajit Magar,KALAMNURI,IND,0,Graduate,"Rs 6,89,34,390 ~ 6 Crore+","Rs 1,24,12,304 ~ 1 Crore+"
263,Ajit Vasant Muttur,SOLAPUR CITY NORTH,IND,0,10th Pass,"Rs 12,54,660 ~ 12 Lacs+",Rs 0 ~
264,Akash Chandrakant Shinde,VIKRAMGAD (ST),IND,0,Graduate,,
265,Akash Laxman Kharatmal,DHARAVI (SC),IND,0,5th Pass,"Rs 6,32,000 ~ 6 Lacs+",Rs 0 ~
266,Akash Mahadev Pujari,AUSA,New Rashtriya Samaj Party,0,Graduate Professional,"Rs 8,12,953 ~ 8 Lacs+","Rs 95,236 ~ 95 Thou+"
267,Akash Nanaji Salunke (Sir),BAGLAN (ST),IND,0,Graduate Professional,,
268,Akash Pandurang Dalavi,BARSHI,IND,5,Graduate,"Rs 4,91,500 ~ 4 Lacs+",Rs 0 ~
269,Akash Pandurang Fundkar,KHAMGAON,BJP,6,Graduate Professional,"Rs 9,64,05,922 ~ 9 Crore+","Rs 2,64,28,492 ~ 2 Crore+"
270,Akash Prakash Patil,NILANGA,Rashtriya Maratha Party,1,12th Pass,,
271,Akash Rajendra Adhav,JUNNAR,IND,0,12th Pass,"Rs 53,70,000 ~ 53 Lacs+",Rs 0 ~
272,Akash Suresh Shende,SHRIRAMPUR (SC),BSP,0,Graduate,"Rs 68,98,553 ~ 68 Lacs+",Rs 0 ~
273,Akash Vijay Uikey,NAGPUR SOUTH,IND,0,Post Graduate,,
274,Akbar Ali Akram Ali Khan,BHOKARDAN,IND,0,8th Pass,"Rs 18,338 ~ 18 Thou+",Rs 0 ~
275,Akbar Khan,NANDED NORTH,Republican Party of India (Khobragade),0,12th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
276,Akbar Shameem Sonawala,NANDGAON,MNS,1,12th Pass,,
277,Akhtaramiya Jalal Shaikh,LATUR CITY,IND,2,Literate,"Rs 79,03,551 ~ 79 Lacs+",Rs 0 ~
278,Akshay Ekanath Davari,CHANDGAD,IND,0,Graduate,"Rs 3,93,110 ~ 3 Lacs+",Rs 0 ~
279,Akshay Kumar,DHAMANGAON RAILWAY,Ambedkarist Republican Party,0,Graduate Professional,,
280,Akshay Sadashiv Adhav,ASHTI,Rashtriya Maratha Party,0,10th Pass,"Rs 30,500 ~ 30 Thou+",Rs 0 ~
281,Alane Dadarao Shriram,SILLOD,IND,1,Graduate Professional,"Rs 57,85,000 ~ 57 Lacs+","Rs 33,00,000 ~ 33 Lacs+"
282,Alavani Parag,VILE PARLE,BJP,2,Graduate Professional,,
283,Alekar Gorakh Dasharath,SHRIGONDA,Janhit Lokshahi Party,1,Graduate,"Rs 2,06,000 ~ 2 Lacs+","Rs 65,09,286 ~ 65 Lacs+"
284,Alhat Nilesh Suresh,PUNE CANTONMENT (SC),Vanchit Bahujan Aaghadi,3,8th Pass,"Rs 35,20,417 ~ 35 Lacs+","Rs 6,35,240 ~ 6 Lacs+"
285,Ali Rahim Shaikh,MALABAR HILL,IND,1,8th Pass,,
286,Alim Patel Mo. Waheed,AMRAVATI,Aazad Samaj Party (Kanshi Ram),20,Post Graduate,"Rs 2,60,65,000 ~ 2 Crore+",Rs 0 ~
287,Alim Usman Shaikh,BEED,IND,0,Doctorate,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
288,Aliya Azad Sanjar,ANUSHAKTI NAGAR,Peace Party,0,8th Pass,,
289,Alka Prabhakar Salunke,KAIJ (SC),Tipu Sultan Party,0,8th Pass,"Rs 35,000 ~ 35 Thou+",Rs 0 ~
290,Alka Prashant Popatkar,NAGPUR WEST,IND,0,Post Graduate,"Rs 1,32,08,881 ~ 1 Crore+",Rs 0 ~
291,Alka Vitthal Sakhare,GANGAKHED,IND,0,10th Pass,,
292,Allauddin Hyatchand Kazi,SANGLI,Vanchit Bahujan Aaghadi,3,Literate,"Rs 41,63,000 ~ 41 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
293,Almas Hayatullah Shaikh,VERSOVA,Akhil Bharatiya Muslim League (Secular),0,12th Pass,"Rs 8,20,000 ~ 8 Lacs+","Rs 6,00,000 ~ 6 Lacs+"
294,Altaf Ahmed Iqbal Ahmed,BHOKAR,IND,0,Post Graduate,,
295,Altaf Ibrahim Shaikh,RAHURI,IND,0,5th Pass,"Rs 4,90,000 ~ 4 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
296,Altaf Khajamiya Syed,PARLI,IND,0,12th Pass,"Rs 2,000 ~ 2 Thou+",Rs 0 ~
297,Amadabadkar Gajanan Kashinath,KARANJA,IND,0,10th Pass,,
298,Amal Mahadevrao Mahadik,KOLHAPUR SOUTH,BJP,0,Graduate,"Rs 24,02,12,000 ~ 24 Crore+","Rs 2,77,29,000 ~ 2 Crore+"
299,Aman Ishwar Surwase,LATUR RURAL,IND,0,12th Pass,"Rs 25,000 ~ 25 Thou+",Rs 0 ~
300,Amar Ashok Athawale,THANE,IND,0,10th Pass,,
301,Amar Joshi,ULHASNAGAR,All India Forward Bloc,0,Post Graduate,"Rs 1,28,72,500 ~ 1 Crore+","Rs 31,30,000 ~ 31 Lacs+"
302,Amar Machhindra Borhade,KHED ALANDI,IND,0,10th Pass,"Rs 9,14,940 ~ 9 Lacs+","Rs 24,914 ~ 24 Thou+"
303,Amar Rajaram Shinde,HATKANANGLE (SC),BSP,0,8th Pass,,
304,Amar Rajaram Shinde,ICHALKARANJI,BSP,0,8th Pass,"Rs 2,48,000 ~ 2 Lacs+","Rs 2,95,800 ~ 2 Lacs+"
305,Amar Ratikant Patil,SOLAPUR SOUTH,Shiv Sena (Uddhav Balasaheb Thackeray),2,Graduate Professional,"Rs 4,80,50,586 ~ 4 Crore+","Rs 49,01,512 ~ 49 Lacs+"
306,Amar Ravindra Funde,ALIBAG,IND,0,Graduate,,
307,Amardeep Anand Wankhade,YAVATMAL,IND,0,Graduate,"Rs 6,000 ~ 6 Thou+",Rs 0 ~
308,Amarjeet Awadhnarayan Singh,KALINA,BJP,0,Graduate,"Rs 17,83,93,404 ~ 17 Crore+","Rs 4,05,11,844 ~ 4 Crore+"
309,Ambade Prafulla Premdas,RAMTEK,IND,0,Post Graduate,,
310,Ambedkar Rajratna Ashok,WASHIM (SC),IND,1,Post Graduate,"Rs 68,79,692 ~ 68 Lacs+","Rs 17,00,000 ~ 17 Lacs+"
311,Ameet Bhaskar Satam,ANDHERI  WEST,BJP,0,Post Graduate,"Rs 11,57,51,268 ~ 11 Crore+","Rs 20,63,244 ~ 20 Lacs+"
312,Ameet Subhashrao Zanak,RISOD,INC,0,Graduate Professional,,
313,Amer Sardar Shaikh,TULJAPUR,IND,0,Graduate,"Rs 1,91,695 ~ 1 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
314,Amin Patel,MUMBADEVI,INC,1,10th Pass,"Rs 60,86,63,515 ~ 60 Crore+","Rs 1,74,91,946 ~ 1 Crore+"
315,Amina Bi Rajjak Tadavi,CHOPDA (ST),IND,0,Illiterate,,
316,Amir Abdullah Ansari,MUMBRA-KALWA,Rashtriya Ulama Council,0,5th Pass,"Rs 6,000 ~ 6 Thou+",Rs 0 ~
317,Amir Ibrahim Shaikh,TULJAPUR,IND,1,12th Pass,"Rs 1,71,000 ~ 1 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
318,Amit Ashok Bhangare,AKOLE (ST),NCP-Sharadchandra Pawar,1,Graduate Professional,,
319,Amit Dharmaji More,WAI,Republican Party of India (A),0,10th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
320,Amit Genuji Kadam,SATARA,Shiv Sena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 3,34,88,683 ~ 3 Crore+","Rs 1,38,01,546 ~ 1 Crore+"
321,Amit Hari Kamble,MIRAJ (SC),IND,0,12th Pass,,
322,Amit Haridas Bhimte,CHIMUR,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,"Rs 13,69,750 ~ 13 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
323,Amit Mankha Tadavee,PACHORA,Vanchit Bahujan Aaghadi,1,Others,"Rs 60,600 ~ 60 Thou+",Rs 0 ~
324,Amit Rahul Gaikwad,KALYAN WEST,IND,0,Graduate Professional,,
325,Amit Raj Thackeray,MAHIM,MNS,0,Post Graduate,"Rs 16,17,71,045 ~ 16 Crore+","Rs 4,19,99,508 ~ 4 Crore+"
326,Amit Rajendra Patil,ERANDOL,IND,1,Post Graduate,"Rs 3,14,36,710 ~ 3 Crore+","Rs 98,36,964 ~ 98 Lacs+"
327,Amit Ramchandra Gaikwad,SOLAPUR CITY NORTH,Republican Sena,0,8th Pass,,
328,Amit Siraj Tadavi,CHOPDA (ST),IND,0,12th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
329,Amit Sumantrao Gadade,KHED ALANDI,IND,0,10th Pass,"Rs 11,98,600 ~ 11 Lacs+","Rs 6,00,000 ~ 6 Lacs+"
330,Amit Upadhyay,ULHASNAGAR,Right to Recall Party,0,Graduate,,
331,Amit Vilasrao Deshmukh,LATUR CITY,INC,0,Graduate Professional,"Rs 42,60,68,060 ~ 42 Crore+","Rs 1,75,45,490 ~ 1 Crore+"
332,Amjad Mehboob Khan,BHOSARI,All India Majlis-E-Inquilab-E-Millat,0,Graduate Professional,"Rs 1,73,10,000 ~ 1 Crore+","Rs 83,00,000 ~ 83 Lacs+"
333,Amok Khushal Nagrare,NAGPUR NORTH (SC),Mera Adhikaar Rashtriya Dal,1,Graduate,,
334,Amol (Rocky) Bangale,MOHOL (SC),IND,1,Graduate Professional,"Rs 85,95,103 ~ 85 Lacs+","Rs 1,17,218 ~ 1 Lacs+"
335,Amol Anand Nikalje,WORLI,Vanchit Bahujan Aaghadi,0,Post Graduate,"Rs 2,10,40,000 ~ 2 Crore+",Rs 0 ~
336,Amol Anandrao Patil,ISLAMPUR,IND,0,8th Pass,,
337,Amol Anant Chandramore,NASHIK  WEST,Vanchit Bahujan Aaghadi,0,Graduate Professional,"Rs 72,06,245 ~ 72 Lacs+","Rs 12,08,000 ~ 12 Lacs+"
338,Amol Anil Randhavan,INDAPUR,IND,1,10th Pass,"Rs 1,61,000 ~ 1 Lacs+",Rs 0 ~
339,Amol Ankush Jawle,AIROLI,Republican Party of India (A),0,12th Pass,,
340,Amol Anna Atole,INDAPUR,IND,0,Graduate,"Rs 50,94,000 ~ 50 Lacs+","Rs 64,000 ~ 64 Thou+"
341,Amol Bhau Sampatrao Kamble,DEOLALI (SC),IND,0,Graduate,"Rs 15,000 ~ 15 Thou+",Rs 0 ~
342,Amol Bhau Shinde,PACHORA,IND,0,Illiterate,,
343,Amol Chimanrao Patil,ERANDOL,Shiv Sena,1,Graduate Professional,"Rs 6,73,05,761 ~ 6 Crore+","Rs 4,23,37,336 ~ 4 Crore+"
344,Amol Dashrath Sawant,GOREGAON,BSP,0,Graduate,"Rs 6,89,000 ~ 6 Lacs+",Rs 0 ~
345,Amol Dhondiba Khatal,SANGMNER,Shiv Sena,1,Graduate,,
346,Amol Lahanu Aher,YEVLA,Aazad Samaj Party (Kanshi Ram),0,Graduate,"Rs 6,82,000 ~ 6 Lacs+","Rs 8,00,000 ~ 8 Lacs+"
347,Amol Laxman Dambale,JINTUR,IND,0,Graduate,"Rs 1,11,000 ~ 1 Lacs+","Rs 20,000 ~ 20 Thou+"
348,Amol Madhukar Karade,PHALTAN (SC),IND,0,Others,,
349,Amol Narayan Choudhar,BARAMATI,IND,2,12th Pass,"Rs 2,81,150 ~ 2 Lacs+","Rs 60,000 ~ 60 Thou+"
350,Amol Omprakash Komawar,YAVATMAL,IND,1,10th Pass,"Rs 7,05,000 ~ 7 Lacs+",Rs 0 ~
351,Amol Panditrao Shinde,PACHORA,IND,6,Graduate,,
352,Amol Pandurang Godbole,NANDED SOUTH,IND,3,8th Pass,"Rs 2,67,498 ~ 2 Lacs+",Rs 0 ~
353,Amol Prabhakar Bire,DHAMANGAON RAILWAY,IND,0,12th Pass,"Rs 50,60,000 ~ 50 Lacs+","Rs 16,90,000 ~ 16 Lacs+"
354,Amol Ramesh Patil,AMALNER,IND,2,12th Pass,,
355,Amol Ramesh Pawar,PHOLAMBARI,BSP,1,Post Graduate,"Rs 19,90,000 ~ 19 Lacs+",Rs 0 ~
356,Amol Shankarrao Gharge,MAN,IND,0,10th Pass,"Rs 17,98,500 ~ 17 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
357,Amol Shivaji Devakate,INDAPUR,MNS,0,12th Pass,,
358,Amol Tujare,PUNE CANTONMENT (SC),IND,0,12th Pass,"Rs 25,000 ~ 25 Thou+",Rs 0 ~
359,Amol Tujare,PARVATI,IND,0,12th Pass,"Rs 25,000 ~ 25 Thou+",Rs 0 ~
360,Amol Vilas Kamble,ISLAMPUR,BSP,0,Graduate,,
361,Amol Wankhede,KAMTHI,Republican Party of India (A),0,Graduate,"Rs 7,17,500 ~ 7 Lacs+","Rs 25,000 ~ 25 Thou+"
362,Amol Yuvraj Agawane,BARAMATI,IND,0,12th Pass,"Rs 38,16,475 ~ 38 Lacs+",Rs 0 ~
363,Amool Shivaji Rokade,WORLI,Republican Sena,0,12th Pass,,
364,Amrut Tambade (Dada),RAJAPUR,IND,0,10th Pass,"Rs 7,22,76,500 ~ 7 Crore+",Rs 0 ~
365,Amruta Arun Waghmare,MAHAD,BSP,0,Post Graduate,"Rs 2,30,000 ~ 2 Lacs+",Rs 0 ~
366,Amrutsagar Santosh Pandharinath,DHULE RURAL,IND,1,8th Pass,,
367,Amshya Fulji Padvi,AKKALKUWA (ST),Shiv Sena,5,12th Pass,"Rs 6,64,87,579 ~ 6 Crore+","Rs 79,99,997 ~ 79 Lacs+"
368,Anagha Rajesh Kangane,CHIPLUN,IND,0,Post Graduate,"Rs 34,61,772 ~ 34 Lacs+",Rs 0 ~
369,Anand Ankush Lamture,LATUR CITY,IND,0,10th Pass,,
370,Anand Bhimrao Jadhav,CHEMBUR,Vanchit Bahujan Aaghadi,0,8th Pass,"Rs 9,87,795 ~ 9 Lacs+",Rs 0 ~
371,Anand Damodar,DOMBIVALI,IND,0,Graduate,"Rs 6,53,702 ~ 6 Lacs+","Rs 4,70,512 ~ 4 Lacs+"
372,Anand Honaji Tirmide,HADGAON,IND,0,12th Pass,,
373,Anand Jayram Saindane,DHULE CITY,BSP,0,12th Pass,"Rs 2,69,114 ~ 2 Lacs+","Rs 1,03,000 ~ 1 Lacs+"
374,Anand Jayram Saindane,DHULE RURAL,BSP,0,12th Pass,"Rs 2,69,114 ~ 2 Lacs+","Rs 1,03,000 ~ 1 Lacs+"
375,Anand Manish Surendra,SHIVAJINAGAR,IND,1,10th Pass,,
376,Anand Nagnath Yadav,BARSHI,Maharashtra Rajya Samiti,3,12th Pass,"Rs 68,82,561 ~ 68 Lacs+","Rs 18,08,591 ~ 18 Lacs+"
377,Anand Rajaram Dhule,HINGOLI,IND,0,12th Pass,"Rs 5,98,443 ~ 5 Lacs+",Rs 0 ~
378,Anand Rangnath Naik,ALIBAG,IND,0,12th Pass,,
379,Anand Shankar Tidke,NANDED SOUTH,Shiv Sena,1,12th Pass,"Rs 3,30,21,776 ~ 3 Crore+","Rs 94,757 ~ 94 Thou+"
380,Anand Sheshrao Bharose,PARBHANI,Shiv Sena,10,Graduate,"Rs 10,07,14,240 ~ 10 Crore+","Rs 1,17,40,805 ~ 1 Crore+"
381,Anand Suresh Shingare,NANDGAON,Vanchit Bahujan Aaghadi,0,8th Pass,,
382,Anand Sureshrao Ingle,CHANDRAPUR (SC),IND,1,12th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
383,Ananda Laxman More,BAGLAN (ST),Yelgar Party,0,Literate,"Rs 53,97,000 ~ 53 Lacs+","Rs 1,60,000 ~ 1 Lacs+"
384,Ananda Limbaji Thombare,JALNA,IND,0,Literate,,
385,Ananda Shankar Nalage-Patil,PALUS-KADEGAON,Baliraja Party,2,12th Pass,"Rs 8,69,000 ~ 8 Lacs+","Rs 4,55,000 ~ 4 Lacs+"
386,Anandraj Ravindra Ghadge,MAHAD,Vanchit Bahujan Aaghadi,0,Graduate,"Rs 26,000 ~ 26 Thou+",Rs 0 ~
387,Anandrao Gangaram Gedam,ARMORI (ST),IND,1,Graduate,,
388,Anandrao Vasantrao Sarnaik (Fouji Bapu),SHAHUWADI,Sambhaji Brigade Party,2,8th Pass,"Rs 36,60,000 ~ 36 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
389,Anandrao Yashwant Alias A Y Patil,RADHANAGARI,IND,0,12th Pass,"Rs 1,28,84,932 ~ 1 Crore+","Rs 3,90,058 ~ 3 Lacs+"
390,Anant (Bala) B. Nar,JOGESHWARI EAST,Shiv Sena (Uddhav Balasaheb Thackeray),3,10th Pass,,
391,Anant Baloji Gite,SHRIVARDHAN,IND,0,8th Pass,"Rs 4,06,268 ~ 4 Lacs+",Rs 0 ~
392,Anant Vaijanath Gaikwad,KAIJ (SC),BSP,0,12th Pass,"Rs 18,80,000 ~ 18 Lacs+","Rs 5,87,000 ~ 5 Lacs+"
393,Ananta Narayan Phate,BALAPUR,IND,0,10th Pass,,
394,Ananta Sambhaji Mahajan,DHARAVI (SC),Peoples Party of India (Democratic),0,Graduate,"Rs 1,06,000 ~ 1 Lacs+","Rs 5,98,500 ~ 5 Lacs+"
395,Anantraj Nandkishor Patkar,KUDAL,Maharashtra Swarajya party,1,12th Pass,"Rs 80,63,800 ~ 80 Lacs+","Rs 35,27,118 ~ 35 Lacs+"
396,Anantrao Vitthalrao Deshmukh,RISOD,IND,0,Post Graduate,,
397,Andalib Majrooh Sultanpuri,VANDRE  WEST,Rashtriya Ulama Council,0,12th Pass,"Rs 2,53,41,552 ~ 2 Crore+","Rs 41,60,000 ~ 41 Lacs+"
398,Andhare Krushna Govindrao,BALAPUR,IND,0,Graduate,"Rs 10,08,36,351 ~ 10 Crore+","Rs 30,00,000 ~ 30 Lacs+"
399,Aneeskha Habibkha Pathan,PHOLAMBARI,IND,0,12th Pass,,
400,Aniket Dattatray Khatal,KOREGAON,IND,0,12th Pass,"Rs 70,000 ~ 70 Thou+","Rs 66,000 ~ 66 Thou+"
401,Aniket Murlidhar Gore,KHED ALANDI,BSP,0,12th Pass,"Rs 21,60,000 ~ 21 Lacs+",Rs 0 ~
402,Anil (Anna) Sahebrao Kadam,NIPHAD,Shiv Sena (Uddhav Balasaheb Thackeray),1,Graduate,,
403,Anil (Kranti) Tularam Kerami,ARMORI (ST),BSP,0,Post Graduate,"Rs 37,18,049 ~ 37 Lacs+",Rs 0 ~
404,Anil Alias Balasaheb Shankarrao Mangulkar,YAVATMAL,INC,0,12th Pass,"Rs 2,67,85,000 ~ 2 Crore+","Rs 7,99,723 ~ 7 Lacs+"
405,Anil Ambadas Dhongade,CHIMUR,IND,0,Graduate,,
406,Anil Anna Gote,DHULE CITY,Shiv Sena (Uddhav Balasaheb Thackeray),13,Others,"Rs 1,52,05,889 ~ 1 Crore+","Rs 10,66,687 ~ 10 Lacs+"
407,Anil Ashok Chandaliya,GANGAPUR,Vanchit Bahujan Aaghadi,0,12th Pass,"Rs 3,06,52,733 ~ 3 Crore+","Rs 2,73,10,414 ~ 2 Crore+"
408,Anil Atmaram Patil,KALYAN  WEST,IND,0,8th Pass,,
