Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1909,Khedekar Dr Shashikant Narsingrao,SINDHKHED RAJA,Shiv Sena,0,Graduate Professional,"Rs 2,53,49,076 ~ 2 Crore+","Rs 16,57,165 ~ 16 Lacs+"
1910,Khemraj Bhau Neware,ARMORI (ST),IND,0,Graduate,"Rs 7,44,822 ~ 7 Lacs+","Rs 26,792 ~ 26 Thou+"
1911,Khizer Quddus Peerzade,SOLAPUR CITY CENTRAL,All India Forward Bloc,3,Others,,
1912,Khobragade Ramesh Jiwalang,TUMSAR,IND,0,Literate,"Rs 3,35,500 ~ 3 Lacs+",Rs 0 ~
1913,Khodape Dilip Baliram (Sir),JAMNER,NCP-Sharadchandra Pawar,0,Post Graduate,"Rs 5,96,31,856 ~ 5 Crore+","Rs 1,39,10,700 ~ 1 Crore+"
1914,Khopde Krishna Pancham,NAGPUR EAST,BJP,3,5th Pass,,
1915,Khorate Mansing Ganpati,CHANDGAD,Jan Surajya Shakti,0,Graduate Professional,"Rs 1,24,24,37,532 ~ 124 Crore+","Rs 1,07,48,04,582 ~ 107 Crore+"
1916,Khoskar Hiraman Bhika,IGATPURI (ST),NCP,0,Literate,"Rs 2,72,73,276 ~ 2 Crore+","Rs 28,12,021 ~ 28 Lacs+"
1917,Khot Santosh Kerba,SHAHUWADI,Kamgaar Kisan Party,0,12th Pass,,
1918,Khudbuddin Hobale (Tanvirseth),BHOSARI,IND,0,8th Pass,"Rs 1,24,65,000 ~ 1 Crore+","Rs 70,00,000 ~ 70 Lacs+"
1919,Kiran Alias Bhaiyya Samant,RAJAPUR,Shiv Sena,0,Others,"Rs 52,91,58,509 ~ 52 Crore+","Rs 5,74,62,407 ~ 5 Crore+"
1920,Kiran Arunrao Thakre,DEOLI,IND,3,Graduate,,
1921,Kiran Ashok Bhalerao,AMBARNATH (SC),BSP,0,10th Pass,"Rs 92,67,600 ~ 92 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
1922,Kiran Gangadhar Gedam,RAJURA,IND,0,10th Pass,"Rs 2,93,500 ~ 2 Lacs+",Rs 0 ~
1923,Kiran Jaypal Kumre,RALEGAON (ST),Vanchit Bahujan Aaghadi,0,Graduate Professional,,
1924,Kiran Kachruappa Yamgawali,BADNERA,IND,1,Graduate Professional,"Rs 18,94,000 ~ 18 Lacs+","Rs 4,30,000 ~ 4 Lacs+"
1925,Kiran Laxman Raykar,KOTHRUD,IND,0,12th Pass,"Rs 9,25,000 ~ 9 Lacs+",Rs 0 ~
1926,Kiran Madhukar Chandgude,KOPARGAON,IND,0,Graduate,,
1927,Kiran Magan Sonawane,CHALISGAON,IND,0,8th Pass,"Rs 21,971 ~ 21 Thou+",Rs 0 ~
1928,Kiran Nana Magare,MALEGAON OUTER,Vanchit Bahujan Aaghadi,3,10th Pass,"Rs 86,03,802 ~ 86 Lacs+","Rs 4,20,000 ~ 4 Lacs+"
1929,Kiran Ram Sawant,BORIVALI,IND,2,Graduate,,
1930,Kiran Sampatrao Patil,ISLAMPUR,IND,0,10th Pass,"Rs 4,72,000 ~ 4 Lacs+","Rs 2,80,000 ~ 2 Lacs+"
1931,Kirtiraj Bhagwat Lokhande,NALASOPARA,IND,0,Graduate,"Rs 37,77,000 ~ 37 Lacs+",Rs 0 ~
1932,Kirty Shyam Mane,PURANDAR,Vanchit Bahujan Aaghadi,0,Post Graduate,,
